case_id,root_workflow_id,workflow_name,start_time,end_time,throughput_sec,total_tokens,activity_count,error_count,pii_in_case,category,currency,document_type,invoice_number,net_amount,total_amount,vendor
673,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:43:40.503,2026-06-08 18:44:35.366,54.863,4131,29,0,True,,,,,,,
675,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:44:49.319,2026-06-08 18:45:08.411,19.092,3355,28,0,True,,,,,,,
677,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:45:11.820,2026-06-08 18:45:31.213,19.393,5400,27,0,True,,,,,,,
679,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:51:19.255,2026-06-08 18:53:01.012,101.757,3406,28,0,True,,,,,,,
681,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:53:04.450,2026-06-08 18:53:19.815,15.365,3171,27,0,True,,,,,,,
683,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:53:22.277,2026-06-08 18:53:37.775,15.498,3168,27,0,True,,,,,,,
685,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:53:49.670,2026-06-08 18:54:20.007,30.337,3173,27,0,True,,,,,,,
687,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:54:32.496,2026-06-08 18:54:56.378,23.882,3101,27,0,True,,,,,,,
689,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:54:58.780,2026-06-08 18:55:17.319,18.539,3585,28,0,True,,,,,,,
691,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:55:18.743,2026-06-08 18:55:54.297,35.554,4759,27,0,True,,,,,,,
693,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:55:55.543,2026-06-08 18:56:14.746,19.203,4227,27,0,True,,,,,,,
695,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:56:17.963,2026-06-08 18:56:32.849,14.886,4480,27,0,True,,,,,,,
697,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:56:36.539,2026-06-08 18:56:57.566,21.027,4627,27,0,True,,,,,,,
699,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:57:14.165,2026-06-08 18:57:35.017,20.852,4119,27,0,True,,,,,,,
701,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:57:39.068,2026-06-08 18:58:21.556,42.488,4925,28,0,True,,,,,,,
703,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:58:23.091,2026-06-08 18:58:38.045,14.954,4749,27,0,True,,,,,,,
705,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:58:46.203,2026-06-08 18:59:22.096,35.893,3250,28,0,True,,,,,,,
707,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 18:59:25.272,2026-06-08 19:00:21.704,56.432,3287,28,0,True,,,,,,,
709,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:00:23.231,2026-06-08 19:00:41.585,18.354,3200,27,0,True,,,,,,,
711,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:00:58.177,2026-06-08 19:01:42.091,43.914,3301,28,0,True,,,,,,,
713,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:01:43.270,2026-06-08 19:02:00.842,17.572,3212,27,0,True,,,,,,,
715,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:02:03.688,2026-06-08 19:02:58.187,54.499,2907,28,0,True,,,,,,,
717,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:03:00.793,2026-06-08 19:03:39.723,38.93,3133,28,0,True,,,,,,,
719,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:03:41.054,2026-06-08 19:04:18.198,37.144,3379,28,0,True,,,,,,,
721,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:04:20.921,2026-06-08 19:04:57.633,36.712,3415,28,0,True,,,,,,,
723,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:04:59.058,2026-06-08 19:05:38.460,39.402,2911,28,0,True,,,,,,,
725,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:05:39.416,2026-06-08 19:05:56.986,17.57,3732,27,0,True,,,,,,,
727,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:06:00.048,2026-06-08 19:06:39.112,39.064,3226,28,0,True,,,,,,,
729,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:06:40.256,2026-06-08 19:06:58.860,18.604,3214,27,0,True,,,,,,,
731,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:06:59.841,2026-06-08 19:07:16.140,16.299,3198,27,0,True,,,,,,,
733,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:07:18.848,2026-06-08 19:07:41.362,22.514,3481,28,0,True,,,,,,,
735,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:07:42.857,2026-06-08 19:08:05.598,22.741,3240,28,0,True,,,,,,,
737,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:08:08.873,2026-06-08 19:08:44.329,35.456,3221,27,0,True,,,,,,,
739,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:08:47.936,2026-06-08 19:09:11.714,23.778,3376,28,0,True,,,,,,,
741,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:09:21.411,2026-06-08 19:09:46.298,24.887,3259,27,0,True,,,,,,,
743,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:09:47.571,2026-06-08 19:10:23.976,36.405,3328,28,0,True,,,,,,,
745,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:10:26.702,2026-06-08 19:10:49.160,22.458,3378,28,0,True,,,,,,,
747,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:10:50.182,2026-06-08 19:11:15.519,25.337,3436,28,0,True,,,,,,,
749,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:11:18.488,2026-06-08 19:11:44.395,25.907,3206,27,0,True,,,,,,,
751,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:11:59.191,2026-06-08 19:12:18.785,19.594,3189,28,0,True,,,,,,,
753,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:12:20.662,2026-06-08 19:12:48.171,27.509,3403,28,0,True,,,,,,,
755,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:12:49.922,2026-06-08 19:13:11.534,21.612,3424,29,0,True,,,,,,,
757,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:13:29.669,2026-06-08 19:14:23.582,53.913,3447,28,0,True,,,,,,,
759,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:15:20.730,2026-06-08 19:15:57.050,36.32,2857,28,0,True,,,,,,,
