case_id,workflow_id,root_workflow_id,activity,previous_activity,execution_index,timestamp,execution_time_sec,token_usage,data_volume_bytes,pii_detected,execution_status,error_type,system_overhead_sec
665,0rbXKm-GDcdDEovRgajzY,unresolved,When Executed by Another Workflow,,0,2026-06-08 18:23:53.482,0.001,0,62,False,success,None,0.001
665,0rbXKm-GDcdDEovRgajzY,unresolved,Download file,When Executed by Another Workflow,0,2026-06-08 18:23:54.535,1.053,0,208896,False,success,None,0.001
665,0rbXKm-GDcdDEovRgajzY,unresolved,Extract from File,Download file,0,2026-06-08 18:23:54.652,0.117,0,271572,True,success,None,0.001
665,0rbXKm-GDcdDEovRgajzY,unresolved,HTTP Request,Extract from File,0,2026-06-08 18:23:55.157,0.504,0,220775,True,success,None,0.001
665,0rbXKm-GDcdDEovRgajzY,unresolved,Extract Text from JSON,HTTP Request,0,2026-06-08 18:23:55.256,0.098,0,979,True,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,When Executed by Another Workflow,,0,2026-06-08 18:27:00.125,0.001,0,62,False,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,Download file,When Executed by Another Workflow,0,2026-06-08 18:27:01.408,1.283,0,250880,False,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,Extract from File,Download file,0,2026-06-08 18:27:01.488,0.08,0,327344,True,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,HTTP Request,Extract from File,0,2026-06-08 18:27:01.921,0.432,0,96683,True,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,Extract Text from JSON,HTTP Request,0,2026-06-08 18:27:01.944,0.022,0,427,True,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,When Executed by Another Workflow,,0,2026-06-08 18:27:01.986,0.001,0,62,False,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,Download file,When Executed by Another Workflow,0,2026-06-08 18:27:03.092,1.106,0,318464,False,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,Extract from File,Download file,0,2026-06-08 18:27:03.197,0.105,0,414928,True,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,HTTP Request,Extract from File,0,2026-06-08 18:27:03.678,0.481,0,226242,True,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,Extract Text from JSON,HTTP Request,0,2026-06-08 18:27:03.701,0.023,0,1043,True,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,When Executed by Another Workflow,,0,2026-06-08 18:27:03.755,0.001,0,62,False,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,Download file,When Executed by Another Workflow,0,2026-06-08 18:27:04.863,1.108,0,257024,False,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,Extract from File,Download file,0,2026-06-08 18:27:04.925,0.062,0,334728,True,success,None,0.001
667,0rbXKm-GDcdDEovRgajzY,unresolved,HTTP Request,Extract from File,0,2026-06-08 18:27:05.344,0.418,0,107957,True,success,None,0.001
